;BuildingType;PrimaryPropertyType;Neighborhood;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking;PropertyGFABuilding(s);LargestPropertyUseType;LargestPropertyUseTypeGFA;SecondLargestPropertyUseType;SecondLargestPropertyUseTypeGFA;ThirdLargestPropertyUseType;ThirdLargestPropertyUseTypeGFA;SiteEnergyUseWN(kBtu);TotalGHGEmissions;Electricity_Part;NaturalGas_Part;Steam_Part;ParkingGFA_Part;BuildingAge
0;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;2.5649493574615367;11.390023097868895;0.0;11.390023097868895;Hotel;11.390023097868895;none;0.0;none;0.0;15.824651811360166;5.525373254682162;52.91772329289209;17.1177203426084;26.87281997502987;0.0;4.59511985013459
1;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;2.4849066497880004;11.547974025246633;9.620129451564402;11.39079172872657;Hotel;11.33715440673783;Parking;9.620129451564402;Restaurant;8.438799123988225;15.974742467790398;5.6932606471966185;37.42695896660376;59.381319984733075;0.0;14.545314099221752;3.4011973816621555
2;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;3.7376696182833684;13.770629294080045;12.189531593509932;13.540274708933826;Hotel;13.536449880916702;none;0.0;none;0.0;18.118725465538716;7.6450533072773705;66.9848505849133;2.020365631808827;29.168780625350905;20.574829256047945;4.04305126783455
3;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;2.3978952727983707;11.023877640745798;0.0;11.023877640745798;Hotel;11.023877640745798;none;0.0;none;0.0;15.75379189578183;5.660979352330892;39.858982563267794;26.072621489561993;31.877210954884916;0.0;4.605170185988092
4;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;2.9444389791664403;12.075855753873482;11.034905792929415;11.640271517759631;Hotel;11.723559092466278;Parking;11.127410032169685;Swimming Pool;0.0;16.50039475395106;6.226556431938032;36.62952206266393;60.068885463333245;0.0;35.311538899646884;3.828641396489095
5;Nonresidential COS;Other;DOWNTOWN;0.6931471805599453;1.0986122886681096;11.48544120936798;10.524037158179487;11.003615358893612;Police Station;11.394490967158449;none;0.0;none;0.0;16.34775496848794;5.713105546117053;58.5884814403636;37.47647378989441;0.0;38.234931337883395;3.295836866004329
6;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;2.4849066497880004;11.326704314635162;0.0;11.326704314635162;Hotel;11.306552989656216;none;0.0;none;0.0;15.617677101906956;5.176940380381437;46.36851075024731;48.61773109392699;0.0;0.0;4.605170185988092
7;NonResidential;Other;DOWNTOWN;0.6931471805599453;2.1972245773362196;11.540170913860424;0.0;11.540170913860424;Other - Entertainment/Public Assembly;11.540170913860424;none;0.0;none;0.0;15.771071488061695;5.404972044416576;51.45325370834245;5.449850849932897;32.20606485833131;0.0;4.605170185988092
8;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;2.772588722239781;12.007530239208668;0.0;12.007530239208668;Hotel;12.007530239208668;none;0.0;none;0.0;16.468333772936266;5.974216653698429;51.415325036807666;45.27177365959014;0.0;0.0;4.804021044733257
9;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;2.4849066497880004;11.9392645217297;9.866823568164536;11.804736501505687;Hotel;11.804736501505687;none;0.0;none;0.0;16.627736433076585;6.539961607594982;37.16977845164243;27.583764694150815;31.460248225949165;12.587243655452035;4.04305126783455
10;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;3.258096538021482;12.716429159281265;11.021281360620167;12.51361616707751;Hotel;12.726772359619336;none;0.0;none;0.0;17.11394090982675;6.609308811083168;66.80078628409176;10.560354492781228;22.16230230873797;18.356964487237974;3.332204510175204
11;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;2.302585092994046;11.082296383198514;0.0;11.082296383198514;Hotel;11.082296383198514;none;0.0;none;0.0;15.665337735831763;5.796756594662978;21.1206045493908;56.56335367521715;26.048522819728092;0.0;4.584967478670572
12;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;3.5263605246161616;12.66334874732981;10.961295207644392;12.462082145801965;Hotel;12.596464724140818;Parking;10.961295207644392;none;0.0;16.93013409730517;6.476387576550862;61.72792496568693;18.12852131778506;19.257485078322933;18.230617308958323;3.828641396489095
13;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;2.4849066497880004;11.431617790897278;10.134638955251866;11.112313560992032;Hotel;11.11826675682705;Parking;10.134638955251866;none;0.0;16.229565824587617;6.239086053829017;34.28123632784913;18.308934903498937;43.57061500717001;27.33485193621868;4.6443908991413725
14;Nonresidential COS;Other;DOWNTOWN;0.6931471805599453;2.4849066497880004;12.928781055513184;10.950824090522445;12.779875885354993;Library;12.80741698836436;Parking;10.799595985047786;Data Center;6.980075940561763;16.7444036926547;5.206092422505519;95.42620930701979;0.0;3.942711121963903;13.834951456310678;3.091042453358316
15;NonResidential;Other;DOWNTOWN;0.6931471805599453;1.9459101490553132;11.55129966608712;0.0;11.55129966608712;Fitness Center/Health Club/Gym;11.407576060361786;Office;10.596659732783579;Swimming Pool;0.0;16.137125921240067;6.075024140206913;43.69911512065591;8.93022887084184;45.0578064003146;0.0;4.564348191467836
16;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;3.367295829986474;12.939118194198793;11.350418300109132;12.71072525539031;Hotel;12.760905585289162;Parking;11.350418300109132;none;0.0;17.352168499377516;6.6894624438984165;61.78774577956633;35.89748404164891;0.0;20.418899733593417;3.7612001156935624
17;NonResidential;Mixed Use Property;DOWNTOWN;0.6931471805599453;1.791759469228055;10.95872250123467;0.0;10.95872250123467;Social/Meeting Hall;9.707655133714226;Restaurant;9.648982324778904;Office;9.184201714366488;15.879485607710194;5.613201096424962;47.79340272245827;26.215990694177734;22.548590752650142;0.0;4.77912349311153
18;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;2.3978952727983707;11.555534661493144;0.0;11.555534661493144;Hotel;11.555534661493144;none;0.0;none;0.0;16.13343824905496;5.858847022493143;58.18412685157319;8.029615717317695;33.78625743110911;0.0;4.700480365792417
19;NonResidential;Other;DOWNTOWN;0.6931471805599453;2.3978952727983707;13.199992713700011;0.0;13.199992713700011;Courthouse;13.194034525770327;none;0.0;none;0.0;17.66614929436709;7.143846644402559;51.79973080457838;43.864901003524054;0.0;0.0;4.700480365792417
20;NonResidential;Other;DOWNTOWN;0.6931471805599453;2.995732273553991;12.861712644003578;0.0;12.861712644003578;Other;12.861712644003578;none;0.0;none;0.0;17.718275095746698;7.43864820089824;36.85496854491751;59.75498762475269;0.0;0.0;3.713572066704308
21;NonResidential;Hotel;NORTHEAST;0.6931471805599453;1.9459101490553132;11.391808126699964;10.32833036107053;10.968318971901319;Hotel;10.968318971901319;Parking;10.32833036107053;none;0.0;15.116570439749157;4.510969390589264;61.6965908417262;38.04061963361923;0.0;34.52456203720426;3.2188758248682006
22;NonResidential;University;DOWNTOWN;0.6931471805599453;2.0794415416798357;11.748740394204184;0.0;11.748740394204184;College/University;11.736077016252437;none;0.0;none;0.0;16.31557786862339;5.963682166095531;38.14622508672313;54.9621519204177;0.0;0.0;4.584967478670572
23;NonResidential;Other;DOWNTOWN;0.6931471805599453;1.0986122886681096;11.115800481137065;0.0;11.115800481137065;Automobile Dealership;11.115800481137065;none;0.0;none;0.0;14.08571907185736;2.315501318260592;99.9999522986926;0.0;0.0;0.0;4.564348191467836
24;NonResidential;Hotel;EAST;0.6931471805599453;2.1972245773362196;11.974625968475259;10.31896899591978;11.762718736879195;Hotel;11.632280597567725;Parking;10.645448706505872;Retail Store;8.412054873292933;15.506517950423158;5.55129152782092;10.549550575840257;87.66443954608178;0.0;19.096145604880384;3.5553480614894135
25;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;2.3978952727983707;12.054476200865153;10.552735090806054;11.80250074417462;Hotel;11.76686976543715;none;0.0;none;0.0;16.228868215026306;5.797970813310776;50.22380797691821;48.79609166508749;0.0;22.27374815263054;3.2188758248682006
26;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;1.791759469228055;11.13328890939415;9.692828247710418;10.863048479640058;Hotel;10.778852117797637;none;0.0;none;0.0;15.332389003910944;4.863217453310182;51.47789346758012;46.30050544386607;0.0;23.68074842859231;3.8712010109078907
27;NonResidential;Small- and Mid-Sized Office;LAKE UNION;0.6931471805599453;1.3862943611198906;11.376681826100373;0.0;11.376681826100373;Office;10.61996055839957;K-12 School;9.806646201086572;Other - Entertainment/Public Assembly;8.36822903827628;15.363858077627487;5.06745661408942;28.76131292665971;59.38055016380757;0.0;0.0;4.787491742782046
28;NonResidential;Hotel;NORTHEAST;0.6931471805599453;1.6094379124341003;11.312912331044872;0.0;11.312912331044872;Hotel;11.312912331044872;none;0.0;none;0.0;15.722276248101736;5.375278407684165;44.81166030569364;54.25666717399948;0.0;0.0;3.4657359027997265
29;NonResidential;Self-Storage Facility;NORTHEAST;0.6931471805599453;1.0986122886681096;11.611475844199505;0.0;11.611475844199505;Self-Storage Facility;10.17450656409137;none;0.0;none;0.0;12.695339828489207;1.5953389880545987;86.21860479700963;11.372585419334284;0.0;0.0;4.2626798770413155
30;Campus;Mixed Use Property;GREATER DUWAMISH;0.6931471805599453;1.3862943611198906;13.111981673523193;0.0;13.111981673523193;Office;13.537155519846507;Laboratory;13.369117199690923;Non-Refrigerated Warehouse;13.038435967369042;19.971671109147472;9.733409536761986;31.90667133410092;63.16799140015089;0.0;0.0;3.5263605246161616
31;NonResidential;Warehouse;GREATER DUWAMISH;1.3862943611198906;1.0986122886681096;13.478772686065135;0.0;13.478772686065135;Non-Refrigerated Warehouse;13.331003865890963;Refrigerated Warehouse;12.52815976788113;Office;11.170449240431308;17.602197457481186;5.74569187773341;101.40815410268725;0.0;0.0;0.0;4.174387269895637
32;SPS-District K-12;K-12 School;MAGNOLIA / QUEEN ANNE;0.6931471805599453;1.0986122886681096;10.914852072639958;0.0;10.914852072639958;K-12 School;10.914852072639958;none;0.0;none;0.0;14.404669822087598;3.4803165861147547;67.55108662960043;24.0053742878441;0.0;0.0;3.58351893845611
33;NonResidential;Small- and Mid-Sized Office;BALLARD;0.6931471805599453;1.0986122886681096;11.460589521950299;0.0;11.460589521950299;Office;10.925704639950524;Non-Refrigerated Warehouse;10.579361404425617;none;0.0;15.692891070059687;4.8794630213208565;65.65711387202616;28.9897763426262;0.0;0.0;4.174387269895637
34;NonResidential;Small- and Mid-Sized Office;GREATER DUWAMISH;0.6931471805599453;1.0986122886681096;10.869615519257454;0.0;10.869615519257454;Office;10.840168974058017;Other - Education;8.968268810776454;none;0.0;14.963115053881802;4.441002839774178;50.140646228356154;43.533503002806896;0.0;0.0;4.836281906951478
35;NonResidential;K-12 School;NORTHWEST;0.6931471805599453;1.3862943611198906;12.072632677297742;0.0;12.072632677297742;K-12 School;12.072632677297742;none;0.0;none;0.0;15.880663819102567;5.516850305304563;33.978788197129894;54.713725870095445;0.0;0.0;4.276666119016055
36;NonResidential;Self-Storage Facility;DOWNTOWN;0.6931471805599453;1.3862943611198906;11.164601270548886;0.0;11.164601270548886;Self-Storage Facility;10.556853863084228;Vocational School;10.247006332425306;Office;8.258422462458876;14.662054241174207;3.8379458020318302;64.34406467821674;28.238443720350624;0.0;0.0;4.74493212836325
37;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;3.2188758248682006;12.713525588195903;12.23549066116272;11.745948057467846;Hotel;12.761769335251394;none;0.0;none;0.0;16.598247301911137;5.691473698188603;75.50739043285628;24.49260338024774;0.0;61.99993979711628;4.04305126783455
38;NonResidential;Large Office;DOWNTOWN;0.6931471805599453;1.791759469228055;12.03240949630686;0.0;12.03240949630686;Office;11.54600234336302;Retail Store;11.092504067078258;Data Center;6.202535517187923;16.070601656398004;4.211831257677767;99.99998951359986;0.0;0.0;0.0;3.970291913552122
39;NonResidential;Other;DOWNTOWN;0.6931471805599453;1.0986122886681096;10.958304681204567;0.0;10.958304681204567;Other - Mall;10.854141063037792;Personal Services (Health/Beauty, Dry Cleaning, etc);8.645058562414134;none;0.0;14.030162759594496;3.5339784928959737;57.68289812310863;42.95709377639192;0.0;0.0;4.663439094112067
40;NonResidential;Small- and Mid-Sized Office;DOWNTOWN;0.6931471805599453;2.1972245773362196;10.992066340225865;0.0;10.992066340225865;Office;10.461616521417985;Retail Store;8.515992470839718;none;0.0;15.472305322151866;3.5934692693092782;96.74759815465183;0.0;0.0;0.0;4.7535901911063645
41;NonResidential;Mixed Use Property;DOWNTOWN;0.6931471805599453;1.0986122886681096;10.869520376305097;0.0;10.869520376305097;Other - Entertainment/Public Assembly;10.064798252418377;Restaurant;10.064798252418377;Office;8.605204068738951;16.568135256134116;6.372141621406648;29.53669475052574;66.27077262556347;0.0;0.0;4.605170185988092
42;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;3.044522437723423;11.49918144717797;9.214730720277476;11.39179683906275;Hotel;11.333703100713947;Parking;9.214730720277476;Restaurant;8.517393171418904;15.440588918419552;4.0975062255596795;84.469667733582;10.854655888301526;0.0;10.182087312691364;4.564348191467836
43;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;3.5553480614894135;13.809706748397092;11.896110880387312;13.650068536864499;Hotel;13.809706748397092;Parking;11.67563087707904;Swimming Pool;0.0;18.22610124056691;7.804895810683244;55.32871202328451;28.335202019794632;14.090084617142152;14.754800786954894;3.784189633918261
44;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;2.0794415416798357;11.172559658233004;0.0;11.172559658233004;Hotel;10.629610022590025;Parking;9.527411329321751;Retail Store;9.170039075202657;15.492291181118645;4.908085639080461;60.6528156843593;39.347165618142114;0.0;0.0;3.713572066704308
45;NonResidential;Hotel;DOWNTOWN;0.6931471805599453;2.0794415416798357;11.718401867230671;0.0;11.718401867230671;Hotel;11.389185974808175;Other - Entertainment/Public Assembly;10.183049243755137;Retail Store;8.987321812850125;15.621898917948172;5.430134791168223;21.246259803963838;67.46771225856308;0.0;0.0;4.770684624465665
46;NonResidential;Hotel;LAKE UNION;0.6931471805599453;1.791759469228055;11.636681736391475;10.658364626228009;11.165181945422688;Hotel;11.165181945422688;Parking;10.658364626228009;none;0.0;15.507155818162556;4.982167230116731;54.24578331363909;43.100388539650744;0.0;37.59377236620042;4.204692619390966
47;NonResidential;Hotel;LAKE UNION;0.6931471805599453;2.0794415416798357;11.921412668610715;10.455531892118072;11.658920117504168;Hotel;11.585692538521108;Restaurant;8.006700845440367;none;0.0;15.73760572527001;5.30305612089521;49.68512186838152;48.55815726782149;0.0;23.086944095498264;3.258096538021482
48;NonResidential;Hotel;LAKE UNION;0.6931471805599453;1.9459101490553132;11.663936936922068;10.247112717290387;11.386239162597649;Hotel;11.390656130909488;Parking;10.250652418696085;none;0.0;15.597544217798998;5.096139981042732;53.660319286992255;44.41552378546555;0.0;24.247635425623386;3.367295829986474
